Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Owen et al. (2012)	boulder	Owen2012-72	Owen2012-L	XJ88	37.4392	75.2634	4813	3	2.75	1	5492000	82000	07KNSTD	0	0	0	2010	56800	4900	-	-	56163	3123	850	-	-	-	-
Owen et al. (2012)	boulder	Owen2012-73	Owen2012-L	XJ89	37.4408	75.2634	4800	3	2.75	1	11113000	151000	07KNSTD	0	0	0	2010	114300	10000	-	-	113097	6340	1581	-	-	-	-

Reference:
Owen LA, Chen J, Hedrick KA, Caffee MW, Robinson AC, Schoenbohm LM, Yuan ZD, Li WQ, Imrecke DB, Liu JF, 2012. Quaternary glaciation of the Tashkurgan Valley, southeast Pamir. Quaternary Science Reviews 47, 56-72.

Data comments:
Sampling year assumed to be 2010.

expage.github.io
