Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Jomelli et al. (2011)	boulder	Jome2011-46	Jome2011-U	A12	-16.2591	-68.1066	4607	4.1	2.5	0.9820	274930	19586	NIST_27900	0	0	0	2009	5941	423	-	-	6395	608	456	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-47	Jome2011-V	12-3	-16.2574	-68.1061	4646	3.8	2.5	0.9827	394586	39267	NIST_27900	0	0	0	2009	8361	832	-	-	8939	1054	892	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-48	Jome2011-W	12-2	-16.2577	-68.1060	4640	3.3	2.5	0.9839	407947	41621	NIST_27900	0	0	0	2009	8624	880	-	-	9293	1116	950	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-49	Jome2011-W	12-1	-16.2577	-68.1060	4641	4.1	2.5	0.9687	416978	27214	NIST_27900	0	0	0	2009	8867	579	-	-	9793	889	641	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-50	Jome2011-X	B6	-16.2595	-68.1054	4648	3	2.5	0.9746	365234	20170	NIST_27900	0	0	0	2009	7744	428	-	-	8162	684	452	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-51	Jome2011-X	B14	-16.2599	-68.1050	4655	3	2.5	0.9814	378267	13272	NIST_27900	0	0	0	2009	7941	279	-	-	8402	606	295	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-52	Jome2011-Y	B7	-16.2592	-68.1054	4652	3	2.5	0.9746	403548	14228	NIST_27900	0	0	0	2009	8543	301	-	-	9190	663	325	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-53	Jome2011-Y	B24	-16.2594	-68.1044	4668	3	2.5	0.9835	362652	12794	NIST_27900	0	0	0	2009	7553	266	-	-	7927	572	280	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-54	Jome2011-Y	B10	-16.2586	-68.1047	4671	3	2.5	0.9870	423840	14658	NIST_27900	0	0	0	2009	8790	304	-	-	9506	683	330	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-55	Jome2011-Y	B8	-16.2592	-68.1045	4667	3	2.5	0.9794	423625	14954	NIST_27900	0	0	0	2009	8866	313	-	-	9614	694	340	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-56	Jome2011-Y	B9	-16.2586	-68.1048	4669	3	2.5	0.9870	434069	15453	NIST_27900	0	0	0	2009	9009	321	-	-	9802	709	350	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-57	Jome2011-Y	B11	-16.2594	-68.1041	4666	3	2.5	0.9729	432533	15231	NIST_27900	0	0	0	2009	9118	321	-	-	9950	718	351	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-58	Jome2011-Z	B19	-16.2571	-68.1016	4703	3	2.5	0.9908	30822	4164	NIST_27900	0	0	0	2009	626	85	-	-	805	120	109	-	-	-	-
Jomelli et al. (2011)	boulder	Jome2011-59	Jome2011-Z	B20	-16.2572	-68.1016	4734	3	2.5	0.9763	8547	1234	NIST_27900	0	0	0	2009	174	25	-	-	209	33	30	-	-	-	-

Reference:
Jomelli V, Khodri M, Favier V, Brunstein D, Ledru M-P, Wagnon P, Blard P-H, Sicart J-E, Braucher R, Grancher D, Bourlès DL, Braconnot P, Vuille M, 2011. Irregular tropical glacier retreat over the Holocene epoch driven by progressive warming. Nature 474, 196-199.

Data comments:
Sampling year assumed to be 2009.
Group ID based on sample location and geomorphology.

expage.github.io - data from expage-201710
