Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Todd et al. (2010)	boulder/cobble	Todd2010-73	Todd2010-L	04-RDY-037-UNN	-85.42660	-135.88468	773	7.5	2.65	0.995	49000	1000	KNSTD	0	0	0	2004	3900	400	-	-	4313	204	88	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-74	Todd2010-L	04-RDY-035-UNN	-85.42443	-135.88128	745	6	2.65	0.994	6000	1000	KNSTD	0	0	0	2004	510	70	-	-	512	88	85	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-75	Todd2010-M	03-RDY-139-CHN	-85.39980	-136.22203	745	6	2.65	1	85000	3000	KNSTD	0	0	0	2003	6800	600	-	-	7521	417	266	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-76	Todd2010-M	03-RDY-151-CHN	-85.39982	-136.21527	724	4.5	2.65	1	82000	2000	KNSTD	0	0	0	2003	6600	600	-	-	7324	361	179	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-77	Todd2010-M	03-RDY-146-CHN	-85.39970	-136.19603	680	7.5	2.65	0.999	57000	2000	KNSTD	0	0	0	2003	4900	400	-	-	5478	303	192	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-78	Todd2010-M	03-RDY-141-CHN	-85.39973	-136.18645	641	6	2.65	0.991	16000	2000	KNSTD	0	0	0	2003	1400	200	-	-	1512	200	189	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-79	Todd2010-M	03-RDY-142-CHN	-85.39973	-136.18645	641	7.5	2.65	0.991	19000	1000	KNSTD	0	0	0	2003	1700	200	-	-	1833	124	97	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-80	Todd2010-N	04-RDY-031-BRK	-85.41232	-135.84777	750	2.5	2.65	1	8000	1000	KNSTD	0	0	0	2004	580	80	-	-	648	86	81	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-81	Todd2010-N	04-RDY-032-BRK	-85.41232	-135.84782	749	7	2.65	1	8000	1000	KNSTD	0	0	0	2004	670	70	-	-	673	89	84	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-82	Todd2010-N	04-RDY-016-SKL	-85.40540	-135.91125	736	5.5	2.65	1	46000	1000	KNSTD	0	0	0	2004	3650	340	-	-	4089	196	89	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-83	Todd2010-N	04-RDY-015-SKL	-85.40537	-135.91193	735	1.5	2.65	1	47000	2000	KNSTD	0	0	0	2004	3610	340	-	-	4037	244	172	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-84	Todd2010-N	04-RDY-022-SKL-RPT	-85.40572	-135.86155	728	6	2.65	0.998	10000	1000	KNSTD	0	0	0	2004	820	100	-	-	854	93	85	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-85	Todd2010-N	04-RDY-003-JGN	-85.38615	-136.27515	633	8	2.65	0.992	6000	1000	KNSTD	0	0	0	2004	520	70	-	-	577	99	96	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-86	Todd2010-O	04-RDY-068-DRM	-85.38845	-136.19483	637	6	2.65	0.999	3000	300	KNSTD	0	0	0	2004	280	50	-	-	293	32	29	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-87	Todd2010-O	04-RDY-070-DRM	-85.39452	-136.19140	631	6.5	2.65	0.999	4000	1000	KNSTD	0	0	0	2004	320	50	-	-	388	98	97	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-88	Todd2010-O	03-RDY-153-CHN	-85.41313	-136.23483	587	6	2.65	1	2000	200	KNSTD	0	0	0	2003	220	40	-	-	210	23	21	-	-	-	-
Todd et al. (2010)	boulder/cobble	Todd2010-89	Todd2010-O	03-RDY-154-CHN	-85.41313	-136.23483	587	6	2.65	1	1000	100	KNSTD	0	0	0	2003	130	30	-	-	110	12	11	-	-	-	-

Reference:
Todd C, Stone J, Conway H, Hall B, Bromley G, 2010. Late Quaternary evolution of Reedy Glacier, Antarctica. Quaternary Science Reviews 29, 1328-1341.

Data comments:
Sample thickness back-calculated from thickness correction in Table 1, assuming a sample density of 2.65 g/cm3.
Sampling year based on sample names.

expage.github.io
