Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Hein et al. (2011b)	cobble	Hein2011b-1	Hein2011b-A	CF_118_08	-80.32545	-28.83897	825	4	2.65	0.9992	8374000	189000	NIST_27900	44250000	1490000	Z92-0222	2008	876400	131000	798100	156000	948131	69604	27374	818260	93721	42313	Hein et al. (2014)
Hein et al. (2011b)	bedrock	Hein2011b-2	Hein2011b-A	CF_119_08	-80.32545	-28.83897	825	5	2.65	0.9992	12500000	273000	NIST_27900	55050000	2810000	Z92-0222	2008	1526000	273000	1165000	279000	1680360	150354	57503	1202713	192977	117447	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-3	Hein2011b-A	CF_120_08	-80.32436	-28.85522	808	4	2.65	0.9992	6014000	134000	NIST_27900	27610000	1400000	Z92-0222	2008	598900	83400	429500	68400	644540	43555	16944	438645	45883	27808	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-4	Hein2011b-A	CF_117_08	-80.32098	-28.89879	748	3	2.65	0.9992	5418000	121000	NIST_27900	25110000	1400000	Z92-0222	2008	559900	77200	404400	64500	603352	40347	15727	413528	44297	28447	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-5	Hein2011b-A	CF_115_08	-80.31669	-28.9219	711	4	2.65	0.9992	4000000	88200	NIST_27900	20690000	700000	Z92-0222	2008	416400	55300	336800	51300	448410	28743	11083	344689	30630	13881	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-6	Hein2011b-B	CF_70_08	-80.2964	-28.91589	605	5	2.65	0.9954	1488000	43200	NIST_27900	8068000	423000	Z92-0222	2008	162600	20500	133100	18300	174835	11003	5304	136297	12357	7647	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-7	Hein2011b-B	CF_72_08	-80.2964	-28.91589	605	4.5	2.65	0.9954	1896000	44800	NIST_27900	11540000	443000	Z92-0222	2008	208600	26300	195300	28000	224581	13740	5616	200187	16997	8493	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-8	Hein2011b-B	CF_66_08	-80.29664	-28.91595	604	5	2.65	0.9919	1376000	33300	NIST_27900	7761000	279000	Z92-0222	2008	150500	18700	128300	17700	161878	9787	4080	131385	10608	5042	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-9	Hein2011b-B	CF_64_08	-80.29652	-28.91656	598	5	2.65	0.9919	1976000	44000	NIST_27900	12030000	476000	Z92-0222	2008	221200	27900	207700	30000	238293	14493	5635	213029	18348	9377	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-10	Hein2011b-B	CF_78_08	-80.29568	-28.90825	568	4	2.65	0.9954	4984000	110000	NIST_27900	26520000	888000	Z92-0222	2008	625400	87700	543400	92300	679967	46314	17872	560517	55701	25035	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-11	Hein2011b-B	CF_77_08	-80.29567	-28.90827	564	5	2.65	0.9954	1340000	34000	NIST_27900	7657000	40000	Z92-0222	2008	151700	18900	131100	18000	163349	9965	4319	134406	9592	751	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-12	Hein2011b-C	CF_90_08	-80.29042	-28.84511	495	3.5	2.65	0.999	2825000	59800	NIST_27900	14300000	730000	Z92-0222	2008	352800	46000	275100	40500	382355	23953	8919	283335	27404	16679	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-13	Hein2011b-C	CF_91_08	-80.29042	-28.84511	495	5	2.65	0.999	2677000	83000	NIST_27900	12900000	676000	Z92-0222	2008	337100	44600	248100	36100	365501	24541	12433	255520	24605	15222	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-14	Hein2011b-C	CF_95_08	-80.2887	-28.82594	448	3.5	2.65	0.9989	2594000	58200	NIST_27900	13750000	720000	Z92-0222	2008	337500	43900	277000	40900	366250	23044	9017	285452	27904	17255	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-15	Hein2011b-D	CF_36_08	-80.2902	-28.67029	576	3	2.65	0.9919	5669000	121000	NIST_27900	34080000	1740000	Z92-0222	2008	718300	103000	758300	144000	782380	54491	20434	784821	99234	60403	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-16	Hein2011b-D	CF_37_08	-80.2902	-28.67029	576	4	2.65	0.9919	7461000	216000	NIST_27900	35530000	1850000	Z92-0222	2008	1023000	161000	817500	161000	1123384	90700	43630	847688	111820	68905	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-17	Hein2011b-D	CF_39_08	-80.28596	-28.6858	508	3.5	2.65	0.9919	9820000	217000	NIST_27900	37910000	1950000	Z92-0222	2008	1637000	303000	997900	217000	1840905	172759	66736	1042807	152932	93525	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-18	Hein2011b-D	CF_40_08	-80.28596	-28.6858	508	5	2.65	0.9919	5011000	150000	NIST_27900	26420000	1380000	Z92-0222	2008	681600	98400	591600	103000	745003	54757	27019	613024	71163	43937	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-19	Hein2011b-D	CF_44_08	-80.28497	-28.68849	474	3.5	2.65	0.9919	8623000	191000	NIST_27900	35660000	1830000	Z92-0222	2008	1414000	246000	950000	201000	1580143	137714	53305	993259	141472	86390	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-20	Hein2011b-D	CF_45_08	-80.28497	-28.68849	474	4	2.65	0.9919	6475000	145000	NIST_27900	0	0	0	2008	963200	148000	-	-	1061720	80280	31364	-	-	-	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-21	Hein2011b-D	CF_99_08	-80.28009	-28.71314	400	5	2.65	0.9992	6126000	137000	NIST_27900	36610000	1880000	Z92-0222	2008	983000	152000	1133000	267000	1088117	82853	32332	1196175	191621	117063	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-22	Hein2011b-D	CF_100_08	-80.28009	-28.71314	400	5	2.65	0.9992	5438000	120000	NIST_27900	29660000	997000	Z92-0222	2008	845300	126000	799500	156000	931982	67889	26194	835550	96595	43550	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-23	Hein2011b-D	CF_52_08	-80.2797	-28.70647	399	2	2.65	0.9919	8359000	187000	NIST_27900	40960000	2100000	Z92-0222	2008	1474000	260300	1369000	370000	1654281	147455	57559	1453204	271120	165462	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-24	Hein2011b-D	CF_53_08	-80.2797	-28.70647	399	5	2.65	0.9919	4732000	106000	NIST_27900	22100000	1140000	Z92-0222	2008	720400	104000	534900	90300	791536	55657	21750	555629	62242	38132	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-25	Hein2011b-D	CF_105_08	-80.27822	-28.71603	382	5	2.65	0.9992	7451000	164000	NIST_27900	45610000	1520000	Z92-0222	2008	1310000	221000	1941000	750000	1465943	123606	47588	2129600	538514	241128	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-26	Hein2011b-D	CF_104_08	-80.27812	-28.71819	380	5	2.65	0.9992	6200000	137000	NIST_27900	32580000	1100000	Z92-0222	2008	1024000	160000	956700	204000	1135346	87412	33765	1004492	127862	57850	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-27	Hein2011b-E	CF_196_08	-80.27249	-28.71008	363	5	2.65	0.9968	4437000	98400	NIST_27900	22800000	766000	Z92-0222	2008	690500	98500	579500	100000	759606	52879	20489	603601	61431	27685	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-28	Hein2011b-E	CF_108_08	-80.27386	-28.73442	339	5	2.65	0.9992	3886000	88900	NIST_27900	24320000	815000	Z92-0222	2008	605200	84500	651300	117000	664667	45339	18035	680153	72122	32437	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-29	Hein2011b-E	CF_110_08	-80.27386	-28.73442	339	3	2.65	0.9992	6063000	136000	NIST_27900	0	0	0	2008	1024000	160000	-	-	1137174	87795	34349	-	-	-	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-30	Hein2011b-E	CF_200_08	-80.27017	-28.71768	335	3.5	2.65	0.9968	3491000	108000	NIST_27900	18170000	940000	Z92-0222	2008	531000	73800	440300	70600	581716	41292	20885	457039	48635	29849	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-31	Hein2011b-E	CF_202_08	-80.27017	-28.71768	335	3	2.65	0.9968	3614000	79400	NIST_27900	17810000	930000	Z92-0222	2008	550000	75600	427200	68200	602624	40192	15449	443281	46995	29010	Hein et al. (2014)
Hein et al. (2011b)	cobble	Hein2011b-32	Hein2011b-F	CF_138B_08	-80.27471	-28.77463	324	4.5	2.65	0.9997	4749000	106000	NIST_27900	21370000	1100000	Z92-0222	2008	778400	114000	553700	94300	858698	61438	23936	576693	65284	39942	Hein et al. (2014)
