Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Corbett et al. (in press)	boulder	CorbInpress-82	CorbInpress-Y	PTD92-05	66.10917	-65.63883	485	8	2.7	0.999	226385	8498	LLNL1000	1305318	64792	KNSTD	1992	32400	1200	29600	1500	31775	2074	1202	27711	2332	1394	-
Corbett et al. (in press)	bedrock	CorbInpress-83	CorbInpress-Z	PTD92-07	66.581	-65.27267	366	8	2.7	0.923	68176	5290	LLNL1000	398986	46417	KNSTD	1992	10900	800	10100	1200	11521	1084	897	10128	1364	1184	-
Corbett et al. (in press)	bedrock	CorbInpress-84	CorbInpress-AA	PTD94-01	66.39283	-65.9275	290	2	2.7	0.991	145476	6079	LLNL3000	739387	35797	KNSTD	1994	22400	900	19400	900	21890	1481	920	18046	1498	881	-
Corbett et al. (in press)	bedrock	CorbInpress-85	CorbInpress-AA	PTD94-02	66.39283	-65.9275	290	4	2.7	0.991	98291	5630	LLNL3000	551816	28859	KNSTD	1994	15300	900	14600	800	14996	1172	862	13653	1163	719	-
Corbett et al. (in press)	bedrock	CorbInpress-86	CorbInpress-AB	PTD94-03	65.845	-65.56417	128	2	2.7	0.985	60624	4999	LLNL3000	346765	17767	KNSTD	1994	11100	900	10800	500	10692	1049	884	9892	835	509	-
Corbett et al. (in press)	bedrock	CorbInpress-87	CorbInpress-AB	PTD94-04	65.845	-65.56417	128	3	2.7	0.985	66076	5654	LLNL3000	422587	21891	KNSTD	1994	12100	1000	13200	700	11782	1188	1011	12211	1036	636	-
Corbett et al. (in press)	bedrock	CorbInpress-88	CorbInpress-AC	PTD94-05	66.2665	-65.76633	616	3	2.7	0.991	113311	5926	LLNL3000	698021	35214	KNSTD	1994	12600	600	13300	700	12442	927	653	12483	1049	634	-
Corbett et al. (in press)	boulder	CorbInpress-89	CorbInpress-AC	PTD94-06	66.2665	-65.76633	616	3	2.7	0.991	0	0	0	672337	35973	KNSTD	1994	-	-	12900	700	-	-	-	12017	1032	647	-
Corbett et al. (in press)	bedrock	CorbInpress-90	CorbInpress-AD	PTD94-07	66.29233	-65.72333	1006	2	2.7	1	886882	24487	LLNL3000	4644346	119745	KNSTD	1994	69100	1800	62600	1500	67750	4104	1903	58509	4298	1553	-
Corbett et al. (in press)	bedrock	CorbInpress-91	CorbInpress-AE	PTD94-08	65.44364	-63.45487	160	3	2.7	0.988	58256	5621	LLNL3000	395107	18622	KNSTD	1994	10300	1000	11900	500	9962	1098	964	10972	900	520	-
Corbett et al. (in press)	cobble	CorbInpress-92	CorbInpress-AE	PTD94-09a	65.44364	-63.45487	160	2	2.7	0.988	66751	5256	LLNL3000	514656	20805	KNSTD	1994	11800	900	15400	600	11341	1078	896	14215	1115	579	-
Corbett et al. (in press)	cobble	CorbInpress-93	CorbInpress-AE	PTD94-09b	65.44364	-63.45487	160	2	2.7	0.988	56909	5631	LLNL3000	397961	18341	KNSTD	1994	10100	1000	11900	500	9632	1083	955	10955	892	508	-
Corbett et al. (in press)	cobble	CorbInpress-94	CorbInpress-AE	PTD94-09c	65.44364	-63.45487	160	3	2.7	0.988	59484	5118	LLNL3000	388374	17247	KNSTD	1994	10600	900	11700	500	10170	1029	877	10771	866	481	-
Corbett et al. (in press)	bedrock	CorbInpress-95	CorbInpress-AF	PTD94-10	65.64153	-68.05429	183	2	2.7	0.999	82507	5477	LLNL3000	518556	26583	KNSTD	1994	14200	900	15100	800	13640	1161	909	13904	1176	718	-
Corbett et al. (in press)	cobble	CorbInpress-96	CorbInpress-AF	PTD94-11a	65.64153	-68.05429	183	3	2.7	0.999	41478	5091	LLNL3000	271157	16799	KNSTD	1994	7200	900	8000	500	6912	925	850	7297	666	454	-
Corbett et al. (in press)	cobble	CorbInpress-97	CorbInpress-AF	PTD94-11b	65.64153	-68.05429	183	3	2.7	0.999	54408	5257	LLNL3000	336670	15753	KNSTD	1994	9400	900	9900	500	9022	995	874	9042	739	425	-
Corbett et al. (in press)	boulder	CorbInpress-98	CorbInpress-AG	PTD94-13	66.13717	-65.684	110	5	2.7	0.993	55133	5212	LLNL3000	353178	14700	KNSTD	1994	10500	1000	11400	500	10081	1094	955	10455	825	437	-
Corbett et al. (in press)	bedrock	CorbInpress-99	CorbInpress-AH	PTD94-14	66.691	-67.75017	290	3	2.7	1	130982	6100	LLNL3000	851998	32690	KNSTD	1994	20200	900	22500	800	19697	1393	922	20844	1618	808	-
Corbett et al. (in press)	cobble	CorbInpress-100	CorbInpress-AH	PTD94-15a	66.691	-67.75017	290	3	2.7	1	40795	5162	LLNL3000	288717	16463	KNSTD	1994	6300	800	7600	400	6115	840	775	7004	616	401	-
Corbett et al. (in press)	cobble	CorbInpress-101	CorbInpress-AH	PTD94-15b	66.691	-67.75017	290	3	2.7	1	41491	5149	LLNL3000	302410	20170	KNSTD	1994	6400	800	7900	500	6217	840	773	7318	692	490	-
Corbett et al. (in press)	cobble	CorbInpress-102	CorbInpress-AH	PTD94-15c	66.691	-67.75017	290	3	2.7	1	43222	5561	LLNL3000	314608	16274	KNSTD	1994	6800	900	8300	400	6473	902	834	7593	642	394	-

Reference:
Corbett LB, Bierman PR, Davis PT, in press. Glacial history and landscape evolution of southern Cumberland Peninsula, Baffin Island, Canada, constrained by cosmogenic 10Be and 26Al. Geological Society of America Bulletin.

Data comments:
Altitude for KM95-001 changed (500 to 50) based on Google Earth.
Latitude for PTD92-03 changed (66.14315 to 66.13315) based on Google Earth.
Longitude for PTD94-13 changed (-65.08400 to -65.68400) based on Google Earth.
Sample thickness derived from Marsella (1998) Appendix B.
Topographic shielding factors calculated from sample dip angles reported in Marsella (1998) Appendix B plus from Jonathan de Ferranti's 3" dem based on Codilean (2006) and Li (2013).
Sampling year based on sample names.

expage.github.io
