Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Seong et al. (2009b)	boulder	Seon2009b-43	Seon2009b-H	MUST-43	38.411	75.165	3715	5	2.65	1	978000	24000	KNSTD	0	0	0	2007	16900	400	-	-	18690	1093	461	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-44	Seon2009b-H	MUST-44	38.410	75.165	3718	5	2.65	1	1144000	27000	KNSTD	0	0	0	2007	19700	500	-	-	21176	1231	502	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-45	Seon2009b-I	MUST-45	38.397	75.168	3857	5	2.65	1	859000	21000	KNSTD	0	0	0	2007	13700	300	-	-	15495	905	380	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-46	Seon2009b-I	MUST-46	38.397	75.167	3861	5	2.65	1	871000	27000	KNSTD	0	0	0	2007	13900	400	-	-	15654	962	487	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-47	Seon2009b-I	MUST-47	38.397	75.167	3860	5	2.65	1	870000	21000	KNSTD	0	0	0	2007	13900	300	-	-	15646	911	379	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-48	Seon2009b-J	MUST-48	38.076	75.028	3594	5	2.65	1	18231000	611000	KNSTD	0	0	0	2007	367100	13400	-	-	345136	23546	12624	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-49	Seon2009b-J	MUST-49	38.079	75.037	3623	5	2.65	1	10909000	121000	KNSTD	0	0	0	2007	208500	2400	-	-	196082	11108	2285	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-50	Seon2009b-J	MUST-50	38.076	75.035	3624	5	2.65	1	13499000	192000	KNSTD	0	0	0	2007	261000	3900	-	-	246227	14319	3727	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-51	Seon2009b-J	MUST-88	38.066	75.041	3557	5	2.65	1	7739000	115000	KNSTD	0	0	0	2007	151500	2300	-	-	143754	8170	2215	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-52	Seon2009b-J	MUST-89	38.066	75.035	3537	5	2.65	1	7899000	215000	KNSTD	0	0	0	2007	156400	6000	-	-	149258	9200	4218	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-53	Seon2009b-K	MUST-52	38.285	75.023	4580	5	2.65	1	13000	4000	KNSTD	0	0	0	2007	100	0	-	-	216	67	67	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-54	Seon2009b-K	MUST-53	38.285	75.026	4568	5	2.65	1	32000	4000	KNSTD	0	0	0	2007	400	0	-	-	526	71	66	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-55	Seon2009b-K	MUST-54	38.287	75.024	4524	5	2.65	1	25000	5000	KNSTD	0	0	0	2007	300	0	-	-	427	88	85	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-56	Seon2009b-K	MUST-55	38.287	75.025	4504	5	2.65	1	48000	5000	KNSTD	0	0	0	2007	600	100	-	-	789	92	82	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-57	Seon2009b-K	MUST-56	38.287	75.025	4511	5	2.65	1	41000	5000	KNSTD	0	0	0	2007	500	100	-	-	679	90	83	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-58	Seon2009b-L	MUST-57	38.288	75.013	4357	5	2.65	1	1137000	27000	KNSTD	0	0	0	2007	14100	300	-	-	15598	906	372	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-59	Seon2009b-L	MUST-58	38.289	75.011	4313	5	2.65	1	1083000	26000	KNSTD	0	0	0	2007	13700	300	-	-	15264	888	368	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-60	Seon2009b-L	MUST-59	38.289	75.011	4308	5	2.65	1	1074000	34000	KNSTD	0	0	0	2007	13600	400	-	-	15191	938	483	-	-	-	-
Seong et al. (2009b)	boulder	Seon2009b-61	Seon2009b-L	MUST-60	38.289	75.011	4300	5	2.65	1	993000	24000	KNSTD	0	0	0	2007	12700	300	-	-	14260	831	346	-	-	-	-
