Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Corbett et al. (2016a)	cobble	Corb2016-102	Corb2016-AH	PTD94-15c	66.69100	-67.75017	290	3	2.7	1	43222	5561	LLNL3000	314608	16274	KNSTD	1994	6800	900	8300	400	6491	911	836	7575	636	393	-

Reference:
Corbett LB, Bierman PR, Davis PT, 2016a. Glacial history and landscape evolution of southern Cumberland Peninsula, Baffin Island, Canada, constrained by cosmogenic 10Be and 26Al. Geological Society of America Bulletin 128, 1173-1192.

Data comments:
Altitude for KM95-001 changed (500 to 50) based on Google Earth.
Latitude for PTD92-03 changed (66.14315 to 66.13315) based on Google Earth.
Longitude for PTD94-13 changed (-65.08400 to -65.68400) based on Google Earth.
Sample thickness derived from Marsella (1998) Appendix B.
Topographic shielding factors calculated from sample dip angles reported in Marsella (1998) Appendix B plus from Jonathan de Ferranti's 3" dem based on Codilean (2006) and Li (2013).
Sampling year based on sample names.
Group ID based on sample location and geomorphology. 25 samples grouped with Marsella (1998) and Marsella et al. (2000) samples.

expage.github.io - data from expage-201906
