Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Kaplan et al. (2016)	boulder	Kapl2016-52	Stre2014-I	FR-07-02	-50.6935	-72.9815	210.69	2.895	2.65	0.993	32242	977	07KNSTD	0	0	0	2007	6550	200	-	-	6353	401	193	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-53	Stre2014-I	FR-07-04	-50.6952	-72.9846	206.97	1.999	2.65	0.992	30889	790	07KNSTD	0	0	0	2007	6260	160	-	-	6083	371	156	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-54	Stre2014-I	FR-07-06	-50.6787	-72.9991	260.97	3.233	2.65	0.998	33923	779	07KNSTD	0	0	0	2007	6550	150	-	-	6364	382	146	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-55	Stre2014-I	FR-07-07	-50.6795	-72.9989	253.12	2.244	2.65	0.998	27712	1309	07KNSTD	0	0	0	2007	5360	250	-	-	5232	381	247	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-56	Stre2014-I	FR-07-11	-50.6944	-72.9818	216.00	1.275	2.65	0.982	30920	800	07KNSTD	0	0	0	2007	6240	160	-	-	6063	371	157	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-57	Stre2014-I	FR-07-14	-50.6964	-73.0045	239.66	1.493	2.65	0.995	32195	1374	07KNSTD	0	0	0	2007	6290	270	-	-	6103	427	261	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-58	Stre2014-I	FR-07-17	-50.6822	-73.0068	247	1.588	2.65	0.998	30689	966	07KNSTD	0	0	0	2007	5940	190	-	-	5779	368	182	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-59	Stre2014-I	FR-07-03	-50.6946	-72.9815	221.26	1.204	2.65	0.983	30108	1488	07KNSTD	0	0	0	2007	6040	300	-	-	5872	436	291	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-60	Stre2014-I	FR-07-08	-50.6813	-72.9990	257.30	2	2.65	0.998	29138	944	07KNSTD	0	0	0	2007	5600	180	-	-	5461	350	177	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-61	Stre2014-I	FR-07-13	-50.6989	-72.9868	285.82	1.469	2.65	0.973	29095	712	07KNSTD	0	0	0	2007	5560	140	-	-	5420	328	133	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-62	Stre2014-I	FR-07-19	-50.6813	-73.0081	242	1.86	2.65	0.998	32273	1449	07KNSTD	0	0	0	2007	6290	280	-	-	6107	436	275	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-63	Kapl2016-G	FR-09-20	-50.7280	-73.0587	245.57	0.63	2.65	0.951	1478	252	07KNSTD	0	0	0	2009	320	60	-	-	345	62	59	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-64	Kapl2016-G	FR-09-29	-50.7101	-73.0661	350.80	1.25	2.65	0.987	2819	226	07KNSTD	0	0	0	2009	530	40	-	-	527	51	42	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-65	Kapl2016-G	FR-09-30	-50.7101	-73.0673	355.75	1.06	2.65	0.977	2629	182	07KNSTD	0	0	0	2009	500	30	-	-	499	44	35	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-66	Kapl2016-G	FR-09-38	-50.7181	-73.0659	383	1.45	2.65	0.995	1053	47	07KNSTD	0	0	0	2009	-	-	-	-	225	16	10	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-67	Kapl2016-H	FR-09-26	-50.7294	-73.0592	253.55	0.85	2.65	0.936	5336	509	07KNSTD	0	0	0	2009	110	1100	-	-	1066	118	102	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-68	Kapl2016-I	FR-09-31	-50.7131	-73.0744	375.61	0.94	2.65	0.991	737	109	07KNSTD	0	0	0	2009	140	20	-	-	166	26	24	-	-	-	-
Kaplan et al. (2016)	boulder	Kapl2016-69	Kapl2016-I	FR-09-33	-50.7160	-73.0744	395.54	1.6	2.65	0.997	3447	78	07KNSTD	0	0	0	2009	-	-	-	-	602	36	14	-	-	-	-

Reference:
Kaplan MR, Schaefer JM, Strelin JA, Denton GH, Anderson RF, Vandergoes MJ, Finkel RC, Schwartz R, Travis SG, Garcia JL, Martini MA, Nielsen SHH, 2016. Patagonian and southern South Atlantic view of Holocene climate. Quaternary Science Reviews 141, 112-125.

Data comments:
Sample density assumed to be 2.65 g/cm3.
Sampling year based on sample names.
Group ID based on sample location and geomorphology (moraine groups at Herminita Peninsula follow Strelin et al. 2014). 29 samples grouped with Strelin et al. (2014) samples.

expage.github.io - data from expage-202002
