Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Borchers et al. (2016)	boulder	Borc2016-28	Borc2016-D	07-NE-004-BH	44.3114	-71.575	412	3.9	2.57	0.9929	78606	1498	07KNSTD	564130	22000	KNSTD	2007	-	-	-	-	14979	843	287	15171	1179	596	-
Borchers et al. (2016)	boulder	Borc2016-28	Borc2016-D	07-NE-004-BH	44.3114	-71.575	412	3.9	2.57	0.9929	82789	1798	07KNSTD	553925	28208	KNSTD	2007	-	-	-	-	15750	902	343	14906	1258	765	-
Borchers et al. (2016)	boulder	Borc2016-29	Borc2016-D	07-NE-005-BH	44.3108	-71.5761	409	3.7	2.58	0.9929	75389	1438	07KNSTD	529727	18722	KNSTD	2007	-	-	-	-	14404	811	276	14291	1084	509	-
Borchers et al. (2016)	boulder	Borc2016-29	Borc2016-D	07-NE-005-BH	44.3108	-71.5761	409	3.7	2.58	0.9929	79684	1921	07KNSTD	533688	24507	KNSTD	2007	-	-	-	-	15195	885	368	14395	1172	666	-
Borchers et al. (2016)	boulder	Borc2016-30	Borc2016-D	07-NE-006-BH	44.3083	-71.5765	413	3.4	2.53	0.9929	77431	2385	07KNSTD	592012	20149	KNSTD	2007	-	-	-	-	14687	901	454	15819	1192	543	-
Borchers et al. (2016)	boulder	Borc2016-30	Borc2016-D	07-NE-006-BH	44.3083	-71.5765	413	3.4	2.53	0.9929	80623	1750	07KNSTD	495694	25891	KNSTD	2007	-	-	-	-	15269	875	333	13301	1133	699	-
Borchers et al. (2016)	boulder	Borc2016-31	Borc2016-D	07-NE-007-BH	44.3082	-71.577	412	3.4	2.57	0.9929	71752	1187	07KNSTD	502311	30446	KNSTD	2007	-	-	-	-	13655	758	227	13495	1223	823	-
Borchers et al. (2016)	boulder	Borc2016-31	Borc2016-D	07-NE-007-BH	44.3082	-71.577	412	3.4	2.57	0.9929	79943	1911	07KNSTD	519681	25423	KNSTD	2007	-	-	-	-	15165	882	364	13955	1161	687	-
Borchers et al. (2016)	boulder	Borc2016-32	Borc2016-E	BL07-01	37.1683	-118.6201	3380	4	2.75	0.98512	431157	6264	07KNSTD	2798607	67637	KNSTD	2007	-	-	-	-	11502	631	168	10928	778	266	-
Borchers et al. (2016)	boulder	Borc2016-33	Borc2016-E	BL07-02	37.1682	-118.6204	3387	5.5	2.75	0.9832	479536	6421	07KNSTD	3195697	135949	KNSTD	2007	-	-	-	-	12907	705	173	12634	1004	541	-
Borchers et al. (2016)	boulder	Borc2016-34	Borc2016-E	BL07-03	37.168	-118.6201	3387	4.5	2.75	0.9892	462263	6232	07KNSTD	3088842	79177	KNSTD	2007	-	-	-	-	12269	670	166	12047	864	311	-
Borchers et al. (2016)	boulder	Borc2016-35	Borc2016-F	06-PUG-003-COL	48.01962	-122.42713	60	2.2	2.7	1	71615	1354	07KNSTD	473311	19560	KNSTD	2006	-	-	-	-	17800	1002	338	16560	1308	690	-
Borchers et al. (2016)	boulder	Borc2016-36	Borc2016-G	06-PUG-009-CPT	48.46195	-123.014	51	2	2.7	1	60907	1219	07KNSTD	416785	41457	KNSTD	2006	-	-	-	-	15181	860	305	14608	1761	1463	-
Borchers et al. (2016)	boulder	Borc2016-37	Borc2016-G	06-PUG-013-CPT	48.45853	-122.98431	84	4	2.7	1	64342	1597	07KNSTD	441898	20112	KNSTD	2006	-	-	-	-	15803	925	394	15264	1240	700	-

Reference:
Borchers B, Marrero S, Balco G, Caffee M, Goehring B, Lifton N, Nishiizumi K, Phillips F, Schaefer J, Stone J, 2016. Geological calibration of spallation production rates in the CRONUS-Earth project. Quaternary Geochronology 31, 188-198.

Data comments:
Sampling year based on sample names.

expage.github.io
