Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Kelley et al. (2014)	boulder	Kelle2014-41	Kelle2014-D	Pl-08-03	-43.9669	170.2676	825	2.2	2.7	0.99999	351600	8040	07KNSTD	0	0	0	2008	44000	1000	-	-	42690	2481	987	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-42	Kelle2014-E	Pl-08-09	-43.9514	170.2626	873	1.1	2.7	0.99998	393600	8340	07KNSTD	0	0	0	2008	47100	1000	-	-	45365	2609	972	-	-	-	-
Kelley et al. (2014)	boulder	Kelle2014-43	Kelle2014-E	Pl-08-08	-43.9517	170.2628	874	0.9	2.7	0.99998	494900	11710	07KNSTD	0	0	0	2008	59900	1400	-	-	57398	3367	1378	-	-	-	-

Reference:
Kelley SE, Kaplan MR, Schaefer JM, Andersen BG, Barrell DJA, Putnam AE, Denton GH, Schwartz R, Finkel RC, Doughty AM, 2014. High-precision 10Be chronology of moraines in the Southern Alps indicates synchronous cooling in Antarctica and New Zealand 42,000 years ago. Earth and Planetary Science Letters 405, 194-206.

Data comments:
Sampling year based on sample names for "Pl" samples and assumed to be 2006 for "Kiwi" samples.

expage.github.io
