Publication	Sample-type	Surface-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Stroeven et al. (in press)	boulder	StroeInpress-60	StroeInpress-AB	S-03-12	61.67586	29.50308	125	5	2.65	1	64812	2861	KNSTD	0	0	0	2003	12231	624	-	-	12363	762	547	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-61	StroeInpress-AB	S-03-14	61.67586	29.50308	125	2	2.65	1	74659	4937	KNSTD	0	0	0	2003	13770	978	-	-	13896	1098	922	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-62	StroeInpress-AC	S-03-20	62.01912	28.79722	145	3	2.65	1	85457	2969	07KNSTD	0	0	0	2003	17238	744	-	-	17404	962	607	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-63	StroeInpress-AC	S-03-21	62.01912	28.79722	135	3	2.65	1	68639	2744	07KNSTD	0	0	0	2003	13952	662	-	-	14087	827	565	-	-	-	-
Stroeven et al. (in press)	sand	StroeInpress-64	StroeInpress-AD	S-03-22	62.54920	27.01666	145	10	1.7	1	76136	3080	07KNSTD	0	0	0	2003	15712	753	-	-	15894	939	646	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-65	StroeInpress-AD	S-03-23	62.54920	27.01666	170	1	2.65	1	68762	3471	07KNSTD	0	0	0	2003	13249	751	-	-	13361	886	677	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-66	StroeInpress-AD	S-03-24	62.54920	27.01666	170	7	2.65	1	52474	2511	07KNSTD	0	0	0	2003	10568	574	-	-	10693	688	513	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-67	StroeInpress-AE	S-03-25	63.10729	26.09817	185	2	2.65	1	60754	4390	07KNSTD	0	0	0	2003	11589	890	-	-	11693	984	847	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-68	StroeInpress-AE	S-03-26	63.10729	26.09817	185	2	2.65	1	55373	2115	07KNSTD	0	0	0	2003	10536	484	-	-	10632	611	407	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-69	StroeInpress-AE	S-03-27	63.10729	26.09817	185	2	2.65	1	62219	3004	07KNSTD	0	0	0	2003	11872	649	-	-	11978	774	580	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-70	StroeInpress-AE	S-03-28	63.10729	26.09817	185	2	2.65	1	79057	6039	NIST_30000	0	0	0	2003	14072	1136	-	-	14198	1247	1088	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-71	StroeInpress-AF	S-03-29	63.62002	25.60849	210	2	2.65	1	58797	2074	07KNSTD	0	0	0	2003	10925	476	-	-	11023	612	390	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-72	StroeInpress-AF	S-03-30	63.62002	25.60849	210	3	2.65	1	89200	4451	07KNSTD	0	0	0	2003	16780	943	-	-	16936	1117	849	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-73	StroeInpress-AF	S-03-31	63.62002	25.60849	205	5	2.65	1	63991	3399	07KNSTD	0	0	0	2003	12253	723	-	-	12380	846	660	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-74	StroeInpress-AG	S-03-32	61.93964	25.22354	180	4	2.65	1	67437	2161	07KNSTD	0	0	0	2003	13199	541	-	-	13329	714	429	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-75	StroeInpress-AG	S-03-33	61.93964	25.22354	180	1	2.65	1	53694	2593	07KNSTD	0	0	0	2003	10216	558	-	-	10298	666	499	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-76	StroeInpress-AG	S-03-34	61.93964	25.22354	180	5	2.65	1	63466	3002	07KNSTD	0	0	0	2003	12515	674	-	-	12645	808	600	-	-	-	-
Stroeven et al. (in press)	bedrock	StroeInpress-77	StroeInpress-AH	S-03-35	63.54324	19.56921	30	4	2.65	1	35681	3010	KNSTD	0	0	0	2003	7214	637	-	-	7289	691	616	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-78	StroeInpress-AH	S-03-36	63.54324	19.56921	30	2	2.65	1	26871	3166	KNSTD	0	0	0	2003	5366	648	-	-	5421	680	640	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-79	StroeInpress-AH	S-03-37	63.54324	19.56921	30	3	2.65	1	26902	5928	KNSTD	0	0	0	2003	5415	1203	-	-	5473	1230	1208	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-80	StroeInpress-AH	S-03-38	63.54324	19.56921	30	2	2.65	1	20815	2780	KNSTD	0	0	0	2003	4132	562	-	-	4176	586	558	-	-	-	-
Stroeven et al. (in press)	sand	StroeInpress-81	StroeInpress-AI	S-03-47	65.23303	20.21719	357	4	1.7	0.765	80927	10781	NIST_30000	0	0	0	2003	15850	2158	-	-	16108	2263	2155	-	-	-	-
Stroeven et al. (in press)	cobble	StroeInpress-82	StroeInpress-AI	S-03-48	65.23303	20.21719	357	10	2.65	1	72632	4449	KNSTD	0	0	0	2003	11256	748	-	-	11393	853	700	-	-	-	-
Stroeven et al. (in press)	boulder	StroeInpress-83	StroeInpress-AI	S-03-53	65.25158	20.22484	395	4	2.65	0.967	63913	4478	NIST_30000	0	0	0	2003	9667	722	-	-	9760	803	686	-	-	-	-
