Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Andersen et al. (2018)	bedrock	Ande2018-1	Ande2018-A	HD01	60.9954	8.7263	1094	3.2	2.65	0.99	185407	5521	07KNSTD	1173583	41439	KNSTD	2016	16200	1500	15200	1400	16088	1014	481	14378	1081	511	-
Andersen et al. (2018)	bedrock	Ande2018-2	Ande2018-A	HD02	60.9964	8.7246	1111	4	2.65	0.99	126073	4286	07KNSTD	809930	32453	KNSTD	2016	10900	1000	10400	1000	10803	703	368	9780	757	394	-
Andersen et al. (2018)	bedrock	Ande2018-3	Ande2018-B	HD04	61.0020	8.7134	1382	3	2.65	1	285721	7173	07KNSTD	1860314	50752	KNSTD	2016	19500	1700	18800	1700	19218	1172	485	17737	1275	488	-
Andersen et al. (2018)	bedrock	Ande2018-4	Ande2018-C	HD06	60.9839	8.6788	1636	4.1	2.65	1	538145	9599	07KNSTD	3505378	70214	KNSTD	2016	30300	2700	29400	2600	29773	1742	535	27623	1926	561	-
Andersen et al. (2018)	bedrock	Ande2018-5	Ande2018-C	HD08	60.9836	8.6969	1659	3.8	2.65	1	737382	12607	07KNSTD	4350417	82169	KNSTD	2016	40900	3600	35900	3200	40074	2342	692	33689	2345	647	-
Andersen et al. (2018)	bedrock	Ande2018-6	Ande2018-C	HD09	60.9845	8.6985	1658	3.9	2.65	1	770144	12328	07KNSTD	4680093	85728	KNSTD	2016	42800	3800	38700	3400	41948	2439	679	36356	2528	678	-
Andersen et al. (2018)	bedrock	Ande2018-7	Ande2018-D	HD10	61.0016	8.7555	886	2.3	2.65	1	89794	3415	07KNSTD	570258	25736	KNSTD	2016	9200	900	8600	800	9113	613	347	8134	652	369	-
Andersen et al. (2018)	bedrock	Ande2018-8	Ande2018-D	HD12	61.0044	8.7499	938	1	2.65	1	103049	3838	07KNSTD	686723	27792	KNSTD	2016	10000	900	9900	900	9885	661	369	9281	720	377	-
Andersen et al. (2018)	bedrock	Ande2018-9	Ande2018-D	HD16	61.0100	8.7310	893	3.3	2.65	0.99	182224	5170	07KNSTD	1086794	33319	KNSTD	2016	18900	1700	16700	1500	18882	1179	538	15866	1161	490	-
Andersen et al. (2018)	bedrock	Ande2018-10	Ande2018-E	HD17	61.0033	8.6357	1297	1.8	2.65	1	189168	4952	07KNSTD	1182473	38437	KNSTD	2016	13700	1200	12700	1200	13480	827	354	11913	879	390	-
Andersen et al. (2018)	bedrock	Ande2018-11	Ande2018-F	HD28	61.0026	8.7024	1480	0.8	2.65	0.99	321063	7161	07KNSTD	2041108	52679	KNSTD	2016	20100	1800	18900	1700	19734	1182	442	17795	1269	463	-
Andersen et al. (2018)	bedrock	Ande2018-12	Ande2018-G	JD04	61.5367	7.8215	1470	2	2.65	1	255384	6139	07KNSTD	1686823	56265	KNSTD	2016	16000	1400	15700	1400	15756	953	380	14755	1096	496	-
Andersen et al. (2018)	bedrock	Ande2018-13	Ande2018-G	JD05	61.5397	7.8302	1433	2	2.65	1	517606	12493	07KNSTD	2846109	94487	KNSTD	2016	33600	3000	27400	2500	33175	2018	807	25871	1931	870	-
Andersen et al. (2018)	bedrock	Ande2018-14	Ande2018-H	JD06	61.2704	5.9341	903	3.8	2.65	1	122515	4011	07KNSTD	855669	35595	KNSTD	2016	12500	1100	12900	1200	12410	800	408	12220	957	511	-
