P-202306-output
expage.github.io

Output for 10Be/26Al production rate calibration
====================================================================================================
sample	P10(at/g/yr)	P10unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26unc(at/g/yr)	P26-included?
02-SCOT-005-ARR	4.246	0.219	X	32.664	2.416	X
02-SCOT-006-ARR	4.048	0.225	X	29.121	2.142	X
02-SCOT-007-ARR	4.262	0.220	X	30.650	2.540	X
02-SCOT-008-ARR	4.107	0.212	X	28.298	1.879	X
06-HKY-05	4.110	0.212	X	29.567	1.928	X
06-HKY-06	4.154	0.217	X	29.644	1.933	X
06-HKY-07	4.095	0.211	X	29.759	1.940	X
06-HKY-08	4.103	0.211	X	29.020	1.892	X
06-HKY-10	4.119	0.212	X	30.740	2.004	X
06-HKY-11	4.223	0.218	X	30.724	2.003	X
BL07-01	3.441	0.113	X	23.384	1.209	X
BL07-02	3.868	0.127	X	27.005	1.395	X
BL07-03	3.675	0.121	X	25.722	1.329	X
SNV-01	4.383	0.408	X	-	-	-
SNV-02	2.019	0.068	-	-	-	-
SNV-03	4.305	0.177	-	-	-	-
SNV-04	3.969	0.199	X	-	-	-
SNV-05	3.920	0.192	X	-	-	-
SNV-06	3.877	0.181	X	-	-	-
SNV-07	4.060	0.138	X	-	-	-
SNV-08	2.717	0.129	-	-	-	-
RM-10-01	4.591	0.236	X	-	-	-
RM-10-02	4.181	0.215	X	-	-	-
RM-10-03	4.233	0.218	X	-	-	-
RM-10-06	4.304	0.222	X	-	-	-
RM-10-10	4.076	0.210	X	-	-	-
RM-10-11	4.073	0.210	X	-	-	-
RM-10-05	4.181	0.215	X	-	-	-
RM-10-09	4.024	0.217	X	-	-	-
RM-10-12	4.091	0.211	X	-	-	-
RM-10-04	4.398	0.227	X	-	-	-
RM-10-07	4.266	0.220	X	-	-	-
RM-10-08	4.183	0.217	X	-	-	-
RMOOR01	3.781	0.195	X	-	-	-
RMOOR02	3.845	0.198	X	-	-	-
RMOOR03	4.295	0.221	X	-	-	-
RMOOR04	3.919	0.202	X	-	-	-
RMOOR05	3.841	0.198	X	-	-	-
RMOOR06	4.083	0.210	X	-	-	-
SPICE-A1	3.944	0.212	X	25.873	2.112	X
SPICE-A2	4.145	0.233	X	25.990	2.155	X
SPICE-A3	4.137	0.224	X	26.494	1.493	X
SPICE-A4	4.110	0.227	X	26.980	1.807	X
SPICE-A5	4.099	0.226	X	25.145	3.136	X
SPICE-A6	4.065	0.227	X	28.947	2.478	X
SPICE-A7	4.090	0.227	X	27.687	2.941	X
SPICE-A8	4.226	0.235	X	27.324	3.114	X
SPICE-A9	4.138	0.229	X	25.002	2.437	X
SPICE-A10	4.339	0.238	X	26.430	2.674	X

site	P10(at/g/yr)	P10unc(at/g/yr)	P10-χ2R	P10-p-value	P10-included?	P26(at/g/yr)	P26unc(at/g/yr)	P26-χ2R	P26-p-value	P26-included?
Littleton	4.348	0.177	0.634	0.786	X	30.088	1.926	1.126	0.338	X
Leverett	5.033	0.194	0.449	0.638	X	-	-	-	-	-
Cobblestone-Hill	3.929	0.276	0.754	0.606	X	-	-	-	-	-
Macaulay	4.015	0.067	0.101	0.996	X	-	-	-	-	-
Boundary-Stream	4.049	0.069	0.065	0.999	X	-	-	-	-	-
Grøtlandsura	3.555	0.153	0.682	0.506	X	-	-	-	-	-
Russenes	3.934	0.202	0.727	0.484	X	-	-	-	-	-
Herminita	4.063	0.178	0.658	0.780	X	-	-	-	-	-
Puerto-Bandera	4.132	0.143	0.416	0.893	X	-	-	-	-	-
Tasiussaq	3.850	0.297	0.149	0.980	X	-	-	-	-	-
Halsnøy	4.195	0.186	0.768	0.615	X	-	-	-	-	-
Oldedalen	3.993	0.258	1.304	0.259	X	-	-	-	-	-
Clyde-River	3.915	0.171	0.178	0.983	X	-	-	-	-	-
Marrait	3.865	0.046	0.047	0.996	X	-	-	-	-	-
Chironico	4.240	0.239	0.798	0.589	X	-	-	-	-	-
