Calib-site	Sample-type	Surface-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	Erosion(cm/yr)	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Calib-age(yr)	Calib-age-unc(yr)	Publication
10	boulder	Youn2011c-8	09GRO-12	69.11293	-51.03442	170	3	2.65	1	0	41669	963	07KNSTD	0	0	0	2009	8188	612	Briner et al. (2012), Young et al. (2013)
10	boulder	Youn2011c-3	FTS08-01	69.20217	-51.08778	75	1	2.65	0.999	0	38944	662	07KNSTD	0	0	0	2008	8187	612	Briner et al. (2012), Young et al. (2013)
10	boulder	Youn2011c-4	FST08-02	69.20190	-51.08597	75	1	2.65	0.999	0	36884	738	07KNSTD	0	0	0	2008	8187	612	Briner et al. (2012), Young et al. (2013)
11	boulder	Goeh2012-1	YDC08-2	59.78080	5.79079	77	3.5	2.6	0.9954	0.000172	51200	1300	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
11	boulder	Goeh2012-2	YDC08-3	59.78113	5.79049	79	1.7	2.6	0.9866	0.000172	53500	1300	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
11	boulder	Goeh2012-3	YDC08-4	59.78096	5.79017	74	1.4	2.6	0.9803	0.000172	52400	1200	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
11	boulder	Goeh2012-4	YDC08-5	59.78158	5.79029	76	1.4	2.6	0.9841	0.000172	56000	1300	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
11	boulder	Goeh2012-5	YDC08-7	59.81646	5.81879	99	2.8	2.6	0.9445	0.000172	57000	1300	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
11	boulder	Goeh2012-6	YDC08-8	59.81384	5.81889	91	2.6	2.6	0.9939	0.000172	55100	1600	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
11	boulder	Goeh2012-7	YDC08-9	59.81395	5.81898	87	2.9	2.6	0.9695	0.000172	55800	1600	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
11	boulder	Goeh2012-8	YDC08-10	59.81367	5.81901	88	3.8	2.6	0.9988	0.000172	55400	1500	07KNSTD	0	0	0	2008	11648	110	Goehring et al. (2012)
12	block	Goeh2012-9	OL08-1	61.66674	6.81500	127	4.1	2.7	0.8946	0	28100	600	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
12	block	Goeh2012-10	OL08-3	61.66690	6.81437	133	1.5	2.7	0.8876	0	26400	700	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
12	block	Goeh2012-11	OL08-5	61.66624	6.81435	146	1.8	2.7	0.8808	0	24300	600	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
12	block	Goeh2012-12	OL08-7	61.66594	6.81505	134	1.8	2.7	0.8936	0	28000	1000	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
12	block	Goeh2012-13	OL08-9	61.66559	6.81518	146	2.8	2.7	0.8862	0	26300	900	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
12	block	Goeh2012-14	OL08-11	61.66650	6.81575	127	4.4	2.7	0.8880	0	32700	700	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
12	block	Goeh2012-15	OL08-13	61.66653	6.81475	133	3.5	2.7	0.8697	0	26000	800	07KNSTD	0	0	0	2008	6067	111	Goehring et al. (2012)
13	boulder	Brin2007-10	CI2-01-1	69.83525	-70.49695	65	5	2.65	0.997	0	35900	3900	KNSTD	0	0	0	2001	8250	297	Balco et al. (2009)
13	boulder	Brin2007-11	CI2-01-2	69.83445	-70.49803	65	4	2.65	0.997	0	38300	3800	KNSTD	0	0	0	2001	8250	297	Balco et al. (2009)
13	boulder	Brin2007-12	CR03-90	69.83022	-70.49618	72	2	2.65	0.986	0	40200	3400	KNSTD	0	0	0	2003	8252	297	Balco et al. (2009)
13	boulder	Brin2007-13	CR03-91	69.83182	-70.49577	67	2	2.65	0.983	0	37000	3000	KNSTD	0	0	0	2003	8252	297	Balco et al. (2009)
13	boulder	Brin2007-14	CR03-92	69.83182	-70.49577	67	2	2.65	0.983	0	40200	2600	KNSTD	0	0	0	2003	8252	297	Balco et al. (2009)
13	boulder	Brin2007-15	CR03-93	69.83235	-70.49670	67	3	2.65	0.984	0	41100	2300	KNSTD	0	0	0	2003	8252	297	Balco et al. (2009)
13	boulder	Brin2007-16	CR03-94	69.83277	-70.49750	65	2	2.65	0.994	0	42300	2900	KNSTD	0	0	0	2003	8252	297	Balco et al. (2009)
13	boulder	Brin2007-10	CI2-01-01	69.83525	-70.49695	65	5	2.65	0.997	0	37700	900	07KNSTD	0	0	0	2001	8250	297	Young et al. (2013)
13	boulder	Brin2007-11	CI2-01-02	69.83445	-70.49803	65	4	2.65	0.997	0	37300	800	07KNSTD	0	0	0	2001	8250	297	Young et al. (2013)
13	boulder	Brin2007-12	CR03-90	69.83022	-70.49618	72	2	2.65	0.986	0	36500	800	07KNSTD	0	0	0	2003	8252	297	Young et al. (2013)
13	boulder	Brin2007-13	CR03-91	69.83182	-70.49577	67	2	2.65	0.983	0	36600	800	07KNSTD	0	0	0	2003	8252	297	Young et al. (2013)
13	boulder	Brin2007-14	CR03-92	69.83182	-70.49577	67	2	2.65	0.983	0	37200	800	07KNSTD	0	0	0	2003	8252	297	Young et al. (2013)
13	boulder	Brin2007-15	CR03-93	69.83235	-70.49670	67	3	2.65	0.984	0	36600	700	07KNSTD	0	0	0	2003	8252	297	Young et al. (2013)
13	boulder	Brin2007-16	CR03-94	69.83277	-70.49750	65	2	2.65	0.994	0	39000	900	07KNSTD	0	0	0	2003	8252	297	Young et al. (2013)
14	boulder	Youn2013b-1	11QOO-01	69.2844	-50.7569	350	1.5	2.65	0.995	0	55600	1900	07KNSTD	0	0	0	2011	9253	42	Young et  al. (2013)
14	boulder	Youn2013b-2	11QOO-02	69.2844	-50.7569	350	1.5	2.65	0.995	0	55800	1100	07KNSTD	0	0	0	2011	9253	42	Young et  al. (2013)
14	boulder	Youn2013b-3	11QOO-03	69.2844	-50.7566	350	1	2.65	0.995	0	57100	1100	07KNSTD	0	0	0	2011	9253	42	Young et  al. (2013)
14	boulder	Youn2013b-4	11QOO-04	69.2844	-50.7562	350	1.25	2.65	0.995	0	55400	1200	07KNSTD	0	0	0	2011	9253	42	Young et  al. (2013)
14	boulder	Youn2013b-5	11QOO-05	69.2842	-50.7528	350	1	2.65	0.996	0	56400	1300	07KNSTD	0	0	0	2011	9253	42	Young et  al. (2013)
15	boulder	Clau2014-1	Chi-1	46.4155	8.8524	761	2	2.65	0.9773	0.0001	104000	5380	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
15	boulder	Clau2014-2	Chi-3	46.4139	8.8543	742	5	2.65	0.9818	0.0001	97710	7640	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
15	boulder	Clau2014-3	Chi-4	46.4161	8.8516	764	3	2.65	0.9500	0.0001	94920	5080	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
15	boulder	Clau2014-4	Chi-5a-2	46.4280	8.8488	815	5	2.65	0.9500	0.0001	99830	7290	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
15	boulder	Clau2014-5	Chi-6	46.4271	8.8493	802	2	2.65	0.9500	0.0001	96540	5340	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
15	boulder	Clau2014-6	Chi-7	46.4271	8.8490	805	2.5	2.65	0.9794	0.0001	98930	5340	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
15	boulder	Clau2014-7	Chi-10	46.4186	8.8490	801	2	2.65	0.9772	0.0001	82170	5930	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
15	boulder	Clau2014-8	Chi-11	46.4174	8.8502	800	1	2.65	0.9772	0.0001	118850	7960	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
15	boulder	Clau2014-9	Chi-12	46.4238	8.8495	790	3	2.65	0.9836	0.0001	99910	6790	S555N	0	0	0	2012	13426	166	Claude et al. (2014)
16	boulder	Kell2015-1	Q-40	-13.9442	-70.8936	4853	1.4841	2.6	0.998	0.0005	545200	13420	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
16	boulder	Kell2015-1	Q-40a	-13.9442	-70.8936	4853	2.8417	2.6	0.999	0.0005	565230	13140	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
16	boulder	Kell2015-2	Q-42	-13.9450	-70.8929	4857	1.5672	2.6	0.996	0.0005	567340	9690	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
16	boulder	Kell2015-3	Q-43	-13.9437	-70.8953	4844	1.4992	2.6	0.999	0.0005	553270	13610	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
16	boulder	Kell2015-4	Q-44	-13.9450	-70.8954	4849	2.0338	2.6	1	0.0005	554020	13640	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
16	boulder	Kell2015-4	Q-44a	-13.9450	-70.8954	4849	2.8763	2.6	1	0.0005	577900	17990	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
16	boulder	Kell2015-5	Q-46	-13.9463	-70.8924	4863	0.9205	2.6	1	0.0005	571630	14030	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
16	boulder	Kell2015-6	Q-47	-13.9463	-70.8921	4865	2.1	2.6	1	0.0005	571390	11580	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
16	boulder	Kell2015-7	Q-48	-13.9461	-70.8927	4862	3.4	2.6	0.998	0.0005	589570	13500	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
16	boulder	Kell2015-8	Q-49	-13.9458	-70.8935	4851	5.1263	2.6	1	0.0005	586260	11070	KNSTD	0	0	0	2005	12290	150	Kelly et al. (2015)
16	boulder	Kell2015-9	Q-83	-13.9440	-70.8923	4856	3.2	2.6	0.975	0.0005	495360	9280	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
16	boulder	Kell2015-9	Q-83a	-13.9440	-70.8923	4856	2.78	2.6	0.975	0.0005	498720	11180	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
16	boulder	Kell2015-10	Q-135	-13.9468	-70.8862	4863	2.34	2.6	0.999	0.0005	515920	11500	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
16	boulder	Kell2015-11	Q-136	-13.9463	-70.8865	4866	2.26	2.6	0.993	0.0005	499300	11960	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
16	boulder	Kell2015-12	Q-137	-13.9657	-70.8855	4870	2.1	2.6	0.999	0.0005	543320	10200	07KNSTD	0	0	0	2008	12293	150	Kelly et al. (2015)
16	boulder	Kell2015-4	HU08-01	-13.94494	-70.89539	4854	7	2.29	0.997	0.00081	494900	9300	07KNSTD	3420000	150000	KNSTD	2008	12293	150	Phillips et al. (2016)
16	boulder	Kell2015-4	HU08-01	-13.94494	-70.89539	4854	7	2.29	0.997	0.00081	490000	10000	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Kell2015-4	HU08-01sp20	-13.94494	-70.89539	4854	7	2.29	0.997	0.00081	524000	12000	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Kell2015-4	HU08-01sp21	-13.94494	-70.89539	4854	7	2.29	0.997	0.00081	539000	10000	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Kell2015-5	HU08-02	-13.94635	-70.89241	4862	5	2.29	0.999	0.00048	500000	10000	07KNSTD	3300000	140000	KNSTD	2008	12293	150	Phillips et al. (2016)
16	boulder	Kell2015-5	HU08-02	-13.94635	-70.89241	4862	5	2.29	0.999	0.00048	495000	16000	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Kell2015-5	HU08-02sp20	-13.94635	-70.89241	4862	5	2.29	0.999	0.00048	542000	10000	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Kell2015-5	HU08-02sp21	-13.94635	-70.89241	4862	5	2.29	0.999	0.00048	519500	9800	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-1	HU08-03	-13.94613	-70.89266	4859	6	2.29	0.994	0.00032	483500	9100	07KNSTD	3380000	150000	KNSTD	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-1	HU08-03	-13.94613	-70.89266	4859	6	2.29	0.994	0.00032	526500	9900	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-2	HU08-04	-13.94545	-70.89280	4848	5	2.29	0.991	0.00081	497700	7200	07KNSTD	3330000	140000	KNSTD	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-2	HU08-04	-13.94545	-70.89280	4848	5	2.29	0.991	0.00081	488300	8200	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-2	HU08-04	-13.94545	-70.89280	4848	5	2.29	0.991	0.00081	512500	9600	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-3	HU08-06	-13.94454	-70.89483	4843	7	2.29	0.999	0.00048	508100	9600	07KNSTD	3560000	160000	KNSTD	2008	12293	150	Phillips et al. (2016)
16	boulder	Phil2016-3	HU08-06	-13.94454	-70.89483	4843	7	2.29	0.999	0.00048	499200	7600	07KNSTD	0	0	0	2008	12293	150	Phillips et al. (2016)
