P-202306-input
expage.github.io

Input for 10Be/26Al production rate calibration
====================================================================================================
site	sample	lat	long	elv	thick	dens	shield	erosion	N10	N10unc	std10	N26	N26unc	std26	samplingyr	calage	calageunc	isostsubm	isostsubmmod
Puerto-Bandera	PBS-08-02	-50.28659	-72.69584	213	1.33	2.65	0.9999	0	66347	1924	07KNSTD	-	-	-	2008	12838	203	-	-
Tasiussaq	09GRO-08	69.11315	-51.03707	170	1	2.65	1	0	42052	1220	07KNSTD	-	-	-	2009	8188	612	-	-
Tasiussaq	09GRO-09	69.11303	-51.03602	170	1	2.65	1	0	42303	1227	07KNSTD	-	-	-	2009	8188	612	-	-
Tasiussaq	09GRO-11	69.11293	-51.03442	170	4	2.65	1	0	40487	1174	07KNSTD	-	-	-	2009	8188	612	-	-
Tasiussaq	09GRO-12	69.11293	-51.03442	170	3	2.65	1	0	41669	1208	07KNSTD	-	-	-	2009	8188	612	-	-
Tasiussaq	FTS08-01	69.20217	-51.08778	75	1	2.65	0.999	0	38944	1129	07KNSTD	-	-	-	2008	8187	612	-	-
Tasiussaq	FST08-02	69.20190	-51.08597	75	1	2.65	0.999	0	36884	1070	07KNSTD	-	-	-	2008	8187	612	-	-
Halsnøy	YDC08-2	59.78080	5.79079	77	3.5	2.6	0.9954	1.72	51200	1485	07KNSTD	-	-	-	2008	11648	110	-	-
Halsnøy	YDC08-3	59.78113	5.79049	79	1.7	2.6	0.9866	1.72	53500	1552	07KNSTD	-	-	-	2008	11648	110	-	-
Halsnøy	YDC08-4	59.78096	5.79017	74	1.4	2.6	0.9803	1.72	52400	1520	07KNSTD	-	-	-	2008	11648	110	-	-
Halsnøy	YDC08-5	59.78158	5.79029	76	1.4	2.6	0.9841	1.72	56000	1624	07KNSTD	-	-	-	2008	11648	110	-	-
Halsnøy	YDC08-7	59.81646	5.81879	99	2.8	2.6	0.9445	1.72	57000	1653	07KNSTD	-	-	-	2008	11648	110	-	-
Halsnøy	YDC08-8	59.81384	5.81889	91	2.6	2.6	0.9939	1.72	55100	1600	07KNSTD	-	-	-	2008	11648	110	-	-
Halsnøy	YDC08-9	59.81395	5.81898	87	2.9	2.6	0.9695	1.72	55800	1618	07KNSTD	-	-	-	2008	11648	110	-	-
Halsnøy	YDC08-10	59.81367	5.81901	88	3.8	2.6	0.9988	1.72	55400	1607	07KNSTD	-	-	-	2008	11648	110	-	-
Oldedalen	OL08-1	61.66674	6.81500	127	4.1	2.7	0.8946	0	28100	815	07KNSTD	-	-	-	2008	6067	111	-	-
Oldedalen	OL08-3	61.66690	6.81437	133	1.5	2.7	0.8876	0	26400	766	07KNSTD	-	-	-	2008	6067	111	-	-
Oldedalen	OL08-5	61.66624	6.81435	146	1.8	2.7	0.8808	0	24300	705	07KNSTD	-	-	-	2008	6067	111	-	-
Oldedalen	OL08-7	61.66594	6.81505	134	1.8	2.7	0.8936	0	28000	1000	07KNSTD	-	-	-	2008	6067	111	-	-
Oldedalen	OL08-9	61.66559	6.81518	146	2.8	2.7	0.8862	0	26300	900	07KNSTD	-	-	-	2008	6067	111	-	-
Oldedalen	OL08-11	61.66650	6.81575	127	4.4	2.7	0.8880	0	32700	948	07KNSTD	-	-	-	2008	6067	111	-	-
Oldedalen	OL08-13	61.66653	6.81475	133	3.5	2.7	0.8697	0	26000	800	07KNSTD	-	-	-	2008	6067	111	-	-
Clyde-River	CI2-01-01	69.83525	-70.49695	65	5	2.65	0.997	0	37380	3705	07KNSTD	-	-	-	2001	8250	297	-	-
