P-202306-input
expage.github.io

Input for 10Be/26Al production rate calibration
====================================================================================================
site	sample	lat	long	elv	thick	dens	shield	erosion	N10	N10unc	std10	N26	N26unc	std26	samplingyr	calage	calageunc	isostsubm	isostsubmmod
Huancané-II	HU08-01	-13.94494	-70.89539	4854	7	2.29	0.997	5	510328	23953	07KNSTD	3420000	167580	KNSTD	2008	12293	150	-	-	ICE7G	-
Huancané-II	HU08-02	-13.94635	-70.89241	4862	5	2.29	0.999	5	517585	21104	07KNSTD	3300000	161700	KNSTD	2008	12293	150	-	-	ICE7G	-
Huancané-II	HU08-03	-13.94613	-70.89266	4859	6	2.29	0.994	5	503193	30406	07KNSTD	3380000	165620	KNSTD	2008	12293	150	-	-	ICE7G	-
Huancané-II	HU08-04	-13.94545	-70.89280	4848	5	2.29	0.991	5	498162	14447	07KNSTD	3330000	163170	KNSTD	2008	12293	150	-	-	ICE7G	-
Huancané-II	HU08-06	-13.94454	-70.89483	4843	7	2.29	0.999	5	502133	14562	07KNSTD	3560000	174440	KNSTD	2008	12293	150	-	-	ICE7G	-
Huancané-II	HU08-10	-13.94700	-70.88693	4860	3.2	2.29	0.997	5	514144	17621	07KNSTD	3250000	159250	KNSTD	2008	12293	150	-	-	ICE7G	-
Huancané-II	HU08-11	-13.94715	-70.88680	4860	6	2.29	0.999	5	518336	15032	07KNSTD	3310000	200000	KNSTD	2008	12293	150	-	-	ICE7G	-
Huancané-II	HU08-14	-13.94887	-70.88559	4871	5	2.29	0.996	5	510437	14803	07KNSTD	3790000	185710	KNSTD	2008	12293	150	-	-	ICE7G	-
Huancané-II	HU08-15	-13.94838	-70.88537	4869	6	2.29	0.995	5	461588	38467	07KNSTD	3230000	158270	KNSTD	2008	12293	150	-	-	ICE7G	-
Huancané-II	HU08-16	-13.94679	-70.88619	4867	6	2.29	0.997	5	476310	48932	07KNSTD	3340000	163660	KNSTD	2008	12293	150	-	-	ICE7G	-
Lake-Bonneville	05PPT-01	41.2637	-112.4753	1603	3	2.65	0.978	0	252064	7496	07KNSTD	1627030	121913	KNSTD	2005	18366	306	-	-	ICE7G	-
Lake-Bonneville	05PPT-02	41.2637	-112.4753	1603	3	2.65	0.994	0	249259	9440	07KNSTD	1542037	255363	KNSTD	2005	18366	306	-	-	ICE7G	-
Lake-Bonneville	05PPT-03	41.2636	-112.4758	1600	3.5	2.65	0.962	0	247620	7181	07KNSTD	1636963	263951	KNSTD	2005	18366	306	-	-	ICE7G	-
Lake-Bonneville	05PPT-04	41.2636	-112.4769	1598	2.5	2.66	0.982	0	250644	7269	07KNSTD	1698098	101451	KNSTD	2005	18366	306	-	-	ICE7G	-
Lake-Bonneville	05PPT-05	41.2639	-112.4750	1605	4	2.67	0.990	0	254397	10996	07KNSTD	1723264	84440	KNSTD	2005	18366	306	-	-	ICE7G	-
Lake-Bonneville	05PPT-08	41.2638	-112.4748	1606	2.5	2.68	0.986	0	252921	8041	07KNSTD	1815798	119489	KNSTD	2005	18366	306	-	-	ICE7G	-
Billingen	S-03-02	58.51890	13.72940	115	2	2.65	1	0	59741	3444	KNSTD	-	-	-	2003	11673	300	PD2015	1.086	PD2015	1.086
Billingen	S-03-03	58.51890	13.72940	119	4	2.65	1	0	61935	2940	KNSTD	-	-	-	2003	11673	300	PD2015	1.086	PD2015	1.086
Billingen	S-03-04	58.53402	13.75966	95	2	2.65	1	0	57339	3679	KNSTD	-	-	-	2003	11673	300	PD2015	1.086	PD2015	1.086
Billingen	S-03-05	58.53402	13.75966	95	2	2.65	1	0	50448	3961	KNSTD	-	-	-	2003	11673	300	PD2015	1.086	PD2015	1.086
Billingen	S-03-06	58.53320	13.76458	100	2	2.65	1	0	53962	5086	KNSTD	-	-	-	2003	11673	300	PD2015	1.086	PD2015	1.086
Billingen	S-03-07	58.50032	13.63830	106	5	2.65	0.9954	0	57758	2240	KNSTD	-	-	-	2003	11673	300	PD2015	1.086	PD2015	1.086
Billingen	S-03-08	58.50032	13.63830	105	5	2.65	0.9954	0	60860	2596	KNSTD	-	-	-	2003	11673	300	PD2015	1.086	PD2015	1.086
Billingen	S-03-09	58.49664	13.63800	120	5	2.65	1	0	59133	4350	KNSTD	-	-	-	2003	11673	300	PD2015	1.086	PD2015	1.086
Billingen	S-03-10	58.50514	13.59663	110	5	2.65	1	0	56553	2407	KNSTD	-	-	-	2003	11673	300	PD2015	1.086	PD2015	1.086
Billingen	S-03-11	58.51637	13.61215	105	10	2.65	1	0	43495	3124	NIST_30000	317327	20214	KNSTD	2003	11673	300	PD2015	1.086	PD2015	1.086
Glen-Roy	GR0602	56.990	-4.686	325	3	2.7	0.9811	0	77978	3610	NIST_30600	-	-	-	2006	11982	313	-	-	ICE7G	-
Glen-Roy	GR0603	56.990	-4.686	325	3	2.7	0.9269	0	72368	3305	NIST_30600	-	-	-	2006	11982	313	-	-	ICE7G	-
Glen-Roy	GR0604	56.991	-4.685	325	3	2.7	0.9543	0	75509	3402	NIST_30600	-	-	-	2006	11982	313	-	-	ICE7G	-
Glen-Roy	GR0605	56.995	-4.695	325	5	2.7	0.6841	0	53588	5237	NIST_30600	-	-	-	2006	11982	313	-	-	ICE7G	-
Azanaques	AZA-11	-18.92045	-66.74732	3930	1.5	2.7	0.998	0	505000	27000	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-13	-18.90822	-66.75647	3808	1	2.7	0.999	0	495813	28991	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-27	-18.91465	-66.74508	3930	2.5	2.7	0.998	0	530000	33000	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-28	-18.91512	-66.74990	3909	2	2.7	0.999	0	525462	49497	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-29	-18.91557	-66.75127	3909	4	2.7	0.999	0	552000	31000	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-31	-18.91223	-66.74630	3908	1	2.7	0.998	0	524000	15196	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-11-01	-18.91252	-66.75071	3903	2	2.7	0.999	0	498000	15000	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-11-02	-18.91309	-66.75075	3909	2	2.7	0.999	0	498000	15000	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-11-04	-18.91500	-66.75015	3935	3	2.7	0.999	0	501000	15000	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-11-05	-18.91552	-66.75131	3899	3	2.7	0.999	0	536000	22000	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-13-04	-18.90891	-66.75649	3804	2.5	2.7	0.999	0	414000	72000	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-13-05	-18.90844	-66.75645	3802	2	2.7	0.999	0	476000	16000	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-30	-18.91248	-66.74950	3895	2.5	2.7	0.999	0	701000	20329	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-32	-18.91418	-66.74557	3909	2	2.7	0.998	0	670000	35000	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Azanaques	AZA-33	-18.92003	-66.74595	3987	2	2.7	0.998	0	1657000	68000	NIST_27900	-	-	-	2010	16130	640	-	-	ICE7G	-
Coire-Fearchair	06-SKY-01	57.24081	-5.97272	442	7	2.52	0.924	0	71155	2063	07KNSTD	-	-	-	2006	11756	500	-	-	ICE7G	-
Coire-Fearchair	06-SKY-03	57.24091	-5.96811	323	8	2.52	0.958	0	62577	1815	07KNSTD	471000	36000	KNSTD	2006	11756	500	-	-	ICE7G	-
Coire-Fearchair	06-SKY-04	57.24223	-5.96876	339	7.5	2.46	0.976	0	68316	4879	07KNSTD	-	-	-	2006	11756	500	-	-	ICE7G	-
Coire-Fearchair	06-SKY-05	57.24240	-5.96630	322	3.5	2.44	0.987	0	70100	9000	07KNSTD	-	-	-	2006	11756	500	-	-	ICE7G	-
Coire-Fearchair	06-SKY-06	57.24249	-5.96588	310	7.5	2.49	0.990	0	66254	3111	07KNSTD	-	-	-	2006	11756	500	-	-	ICE7G	-
Coire-Fearchair	06-SKY-07	57.24269	-5.96485	300	6	2.56	0.992	0	64260	1864	07KNSTD	593000	56000	KNSTD	2006	11756	500	-	-	ICE7G	-
Coire-Fearchair	06-SKY-08	57.24250	-5.96530	314	2	2.41	0.988	0	64100	4200	07KNSTD	-	-	-	2006	11756	500	-	-	ICE7G	-
Corrie-nan-Arr	06-HKY-01	57.41525	-5.64641	133	2.5	2.52	0.988	0	57400	1665	07KNSTD	424000	22000	KNSTD	2006	11756	500	-	-	ICE7G	-
Corrie-nan-Arr	06-HKY-03A	57.41550	-5.64662	131	5.85	2.47	0.985	0	62100	1801	07KNSTD	396000	20000	KNSTD	2006	11756	500	-	-	ICE7G	-
Corrie-nan-Arr	06-HKY-04	57.42309	-5.65812	137	10	2.59	0.972	0	53300	1546	07KNSTD	387000	21000	KNSTD	2006	11756	500	-	-	ICE7G	-
Corrie-nan-Arr	02-SCOT-001-ARR	57.41413	-5.64375	139	4	2.57	0.990	0	56500	1638	07KNSTD	392000	22000	KNSTD	2002	11752	500	-	-	ICE7G	-
Corrie-nan-Arr	02-SCOT-002-ARR	57.41413	-5.64375	139	2	2.57	0.990	0	57400	1665	07KNSTD	454000	23000	KNSTD	2002	11752	500	-	-	ICE7G	-
Corrie-nan-Arr	02-SCOT-003-ARR	57.41413	-5.64375	139	4	2.57	0.990	0	54400	1578	07KNSTD	-	-	-	2002	11752	500	-	-	ICE7G	-
Corrie-nan-Arr	02-SCOT-004-ARR	57.41512	-5.64620	135	6.2	2.71	0.988	0	57500	1667	07KNSTD	400000	24000	KNSTD	2002	11752	500	-	-	ICE7G	-
Corrie-nan-Arr	02-SCOT-005-ARR	57.41512	-5.64620	135	3.3	2.57	0.988	0	58800	1705	07KNSTD	451000	27000	KNSTD	2002	11752	500	-	-	ICE7G	-
Corrie-nan-Arr	02-SCOT-006-ARR	57.41525	-5.64641	133	2.4	2.57	0.988	0	56400	2000	07KNSTD	405000	24000	KNSTD	2002	11752	500	-	-	ICE7G	-
Corrie-nan-Arr	02-SCOT-007-ARR	57.41525	-5.64641	133	2.1	2.57	0.988	0	59500	1725	07KNSTD	427000	30000	KNSTD	2002	11752	500	-	-	ICE7G	-
Corrie-nan-Arr	02-SCOT-008-ARR	57.41525	-5.64641	133	1.4	2.57	0.988	0	57700	1673	07KNSTD	397000	20000	KNSTD	2002	11752	500	-	-	ICE7G	-
Maol-Chean-dearg	06-HKY-05	57.48742	-5.44928	521	4	2.55	0.987	0	81100	2352	07KNSTD	580000	28420	KNSTD	2006	11756	500	-	-	ICE7G	-
Maol-Chean-dearg	06-HKY-06	57.48755	-5.44977	527	3.75	2.53	0.987	0	82600	2500	07KNSTD	586000	28714	KNSTD	2006	11756	500	-	-	ICE7G	-
Maol-Chean-dearg	06-HKY-07	57.48778	-5.44772	500	6.25	2.59	0.989	0	77900	2259	07KNSTD	563000	27587	KNSTD	2006	11756	500	-	-	ICE7G	-
Maol-Chean-dearg	06-HKY-08	57.48868	-5.44703	502	4	2.59	0.988	0	79600	2308	07KNSTD	560000	27440	KNSTD	2006	11756	500	-	-	ICE7G	-
Maol-Chean-dearg	06-HKY-10	57.48732	-5.44866	510	6.75	2.59	0.987	0	78600	2279	07KNSTD	583000	28567	KNSTD	2006	11756	500	-	-	ICE7G	-
Maol-Chean-dearg	06-HKY-11	57.48743	-5.44989	528	4	2.58	0.987	0	83800	2430	07KNSTD	606000	29694	KNSTD	2006	11756	500	-	-	ICE7G	-
Baboon-Lake	BL07-01	37.1683	-118.6201	3380	4	2.75	0.98512	0	431157	12504	07KNSTD	2798607	137132	KNSTD	2007	13104	200	-	-	ICE7G	-
Baboon-Lake	BL07-02	37.1682	-118.6204	3387	5.5	2.75	0.9832	0	479536	13907	07KNSTD	3195697	156589	KNSTD	2007	13104	200	-	-	ICE7G	-
Baboon-Lake	BL07-03	37.1680	-118.6201	3387	4.5	2.75	0.9892	0	462263	13406	07KNSTD	3088842	151353	KNSTD	2007	13104	200	-	-	ICE7G	-
Baboon-Lake	SNV-01	37.1654	-118.6227	3390	2	2.65	0.98	0	558584	51128	07KNSTD	-	-	-	2008	13105	200	-	-	ICE7G	-
Baboon-Lake	SNV-02	37.1654	-118.6227	3390	2	2.65	0.98	0	258604	7743	07KNSTD	-	-	-	2008	13105	200	-	-	ICE7G	-
Baboon-Lake	SNV-03	37.1654	-118.6227	3390	2	2.65	0.98	0	548688	20867	07KNSTD	-	-	-	2008	13105	200	-	-	ICE7G	-
Baboon-Lake	SNV-04	37.1656	-118.6228	3380	2	2.65	0.98	0	502926	23930	07KNSTD	-	-	-	2008	13105	200	-	-	ICE7G	-
Baboon-Lake	SNV-05	37.1656	-118.6228	3380	2	2.65	0.98	0	496744	22954	07KNSTD	-	-	-	2008	13105	200	-	-	ICE7G	-
Baboon-Lake	SNV-06	37.1654	-118.6227	3390	2	2.65	0.98	0	494338	21666	07KNSTD	-	-	-	2008	13105	200	-	-	ICE7G	-
Baboon-Lake	SNV-07	37.1654	-118.6227	3390	2	2.65	0.98	0	517528	15654	07KNSTD	-	-	-	2008	13105	200	-	-	ICE7G	-
Baboon-Lake	SNV-08	37.1654	-118.6227	3390	2	2.65	0.98	0	347137	15494	07KNSTD	-	-	-	2008	13105	200	-	-	ICE7G	-
Rannoch-Moor	RM-10-01	56.63340	-4.77118	316	0.93	2.65	1	0	77000	2233	07KNSTD	-	-	-	2010	11760	500	-	-	ICE7G	-
Rannoch-Moor	RM-10-02	56.63338	-4.77133	316	2.23	2.65	1	0	69400	2013	07KNSTD	-	-	-	2010	11760	500	-	-	ICE7G	-
Rannoch-Moor	RM-10-03	56.63369	-4.77312	321	0.75	2.65	1	0	71500	2074	07KNSTD	-	-	-	2010	11760	500	-	-	ICE7G	-
Rannoch-Moor	RM-10-06	56.63377	-4.77660	325	0.67	2.65	1	0	73000	2117	07KNSTD	-	-	-	2010	11760	500	-	-	ICE7G	-
Rannoch-Moor	RM-10-10	56.63592	-4.77492	316	0.66	2.65	1	0	68600	1989	07KNSTD	-	-	-	2010	11760	500	-	-	ICE7G	-
Rannoch-Moor	RM-10-11	56.63633	-4.77294	313	0.94	2.65	1	0	68200	1978	07KNSTD	-	-	-	2010	11760	500	-	-	ICE7G	-
Rannoch-Moor	RM-10-05	56.63385	-4.77544	324	1.60	2.65	1	0	70300	2039	07KNSTD	-	-	-	2010	11760	500	-	-	ICE7G	-
Rannoch-Moor	RM-10-09	56.63459	-4.78123	326	3.01	2.65	0.994	0	66600	2200	07KNSTD	-	-	-	2010	11760	500	-	-	ICE7G	-
Rannoch-Moor	RM-10-12	56.63520	-4.77243	316	1.93	2.65	1	0	68100	1975	07KNSTD	-	-	-	2010	11760	500	-	-	ICE7G	-
Rannoch-Moor	RM-10-04	56.63391	-4.77524	324	2.27	2.65	1	0	73500	2132	07KNSTD	-	-	-	2010	11760	500	-	-	ICE7G	-
Rannoch-Moor	RM-10-07	56.63407	-4.77674	325	1.41	2.65	1	0	71900	2085	07KNSTD	-	-	-	2010	11760	500	-	-	ICE7G	-
Rannoch-Moor	RM-10-08	56.63414	-4.77869	327	1.49	2.65	1	0	70600	2100	07KNSTD	-	-	-	2010	11760	500	-	-	ICE7G	-
Rannoch-Moor	RMOOR01	56.63500	-4.77800	327	1.60	2.65	0.9989	0	63780	1850	NIST_27900	-	-	-	2014	11764	500	-	-	ICE7G	-
Rannoch-Moor	RMOOR02	56.63500	-4.78100	326	1.20	2.65	0.9998	0	65073	1887	NIST_27900	-	-	-	2014	11764	500	-	-	ICE7G	-
Rannoch-Moor	RMOOR03	56.63400	-4.78100	329	1.20	2.65	0.9998	0	72794	2111	NIST_27900	-	-	-	2014	11764	500	-	-	ICE7G	-
Rannoch-Moor	RMOOR04	56.63400	-4.77900	329	1.20	2.65	0.9998	0	66488	1928	NIST_27900	-	-	-	2014	11764	500	-	-	ICE7G	-
Rannoch-Moor	RMOOR05	56.63400	-4.77700	326	3.00	2.65	0.9997	0	63988	1856	NIST_27900	-	-	-	2014	11764	500	-	-	ICE7G	-
Rannoch-Moor	RMOOR06	56.63400	-4.77500	323	1.50	2.65	0.9997	0	68674	1992	NIST_27900	-	-	-	2014	11764	500	-	-	ICE7G	-
SP-lava-flow	SPICE-A1	35.5944	-111.6342	1837	8	2.25	0.999	0	938000	43000	07KNSTD	5900000	450000	KNSTD	2015	72000	2000	-	-	Gowan2021	-
SP-lava-flow	SPICE-A2	35.6056	-111.6175	1807	8	2.26	0.999	0	964000	47000	07KNSTD	5800000	450000	KNSTD	2015	72000	2000	-	-	Gowan2021	-
SP-lava-flow	SPICE-A3	35.6100	-111.6137	1810	13	2.15	0.999	0	936000	43500	07KNSTD	5750000	281750	KNSTD	2015	72000	2000	-	-	Gowan2021	-
SP-lava-flow	SPICE-A4	35.6121	-111.6098	1803	13	2.13	0.998	0	925000	44000	07KNSTD	5823757	353553	KNSTD	2015	72000	2000	-	-	Gowan2021	-
SP-lava-flow	SPICE-A5	35.6163	-111.6081	1800	13	2.28	1	0	917000	43500	07KNSTD	5400000	650000	KNSTD	2015	72000	2000	-	-	Gowan2021	-
SP-lava-flow	SPICE-A6	35.6245	-111.6057	1778	12	2.29	1	0	901000	43500	07KNSTD	6150000	494975	KNSTD	2015	72000	2000	-	-	Gowan2021	-
SP-lava-flow	SPICE-A7	35.6164	-111.6087	1800	13	2.45	1	0	909000	43500	07KNSTD	5900000	600000	KNSTD	2015	72000	2000	-	-	Gowan2021	-
SP-lava-flow	SPICE-A8	35.6326	-111.6068	1778	13	2.05	0.997	0	936000	45000	07KNSTD	5807240	636396	KNSTD	2015	72000	2000	-	-	Gowan2021	-
SP-lava-flow	SPICE-A9	35.6094	-111.6135	1810	13	2.29	0.999	0	931000	44500	07KNSTD	5400000	500000	KNSTD	2015	72000	2000	-	-	Gowan2021	-
SP-lava-flow	SPICE-A10	35.6165	-111.6085	1800	12	2.31	0.999	0	975000	46000	07KNSTD	5700000	550000	KNSTD	2015	72000	2000	-	-	Gowan2021	-
====================================================================================================

Input for 14C production rate calibration
====================================================================================================
site	sample	lat	long	elv	thick	dens	shield	erosion	N14	N14unc	samplingyr	calage	calageunc
NewZealand	MR-08-03	-43.57452	170.60805	1029.4	2.55	2.65	0.988	0	227200	9000	2008	9709	54
NewZealand	MR-08-05	-43.57435	170.6076	1032.1	2.39	2.65	0.991	0	194880	8770	2008	9709	54
NewZealand	MR-08-13	-43.57751	170.60695	1027.6	1.41	2.65	0.991	0	213480	8830	2008	9709	54
NewZealand	MR-08-14	-43.57787	170.60493	1032	2.35	2.65	0.991	0	200310	8920	2008	9709	54
Greenland	11QOO-01	69.2844	-50.7569	350	1.5	2.65	0.995	0	133900	8030	2011	9253	42
Greenland	11QOO-02	69.2844	-50.7569	350	1.5	2.65	0.995	0	152640	7980	2011	9253	42
Greenland	11QOO-03	69.2844	-50.7566	350	1	2.65	0.995	0	146510	8010	2011	9253	42
Greenland	11QOO-04	69.2844	-50.7562	350	1.25	2.65	0.995	0	142790	7820	2011	9253	42
Greenland	11QOO-05	69.2842	-50.7528	350	1	2.65	0.995	0	146970	7740	2011	9253	42
Bonneville	05PPT-01	41.2637	-112.4753	1603	3	2.65	0.978	0	344740	10630	2005	18366	306
Bonneville	05PPT-02	41.2637	-112.4753	1603	3	2.65	0.994	0	327590	6700	2005	18366	306
Bonneville	05PPT-03	41.2636	-112.4758	1600	5	2.65	0.962	0	336220	18810	2005	18366	306
Bonneville	05PPT-04	41.2636	-112.4769	1598	2.5	2.66	0.982	0	330140	8660	2005	18366	306
Bonneville	05PPT-05	41.2639	-112.4750	1605	3	2.67	0.99	0	357560	11670	2005	18366	306
Bonneville	05PPT-08	41.2638	-112.4748	1606	2.5	2.68	0.986	0	368590	15820	2005	18366	306
Scotland	06-HKY-01	57.41525	-5.64641	133	2	2.52	0.98	0	117490	15540	2006	11756	500
Scotland	06-HKY-03	57.41550	-5.64662	131	6.7	2.47	0.981	0	100780	6620	2006	11756	500
Scotland	06-HKY-04	57.42309	-5.65812	137	4	2.59	0.956	0	118090	7820	2006	11756	500
Scotland	06-HKY-05	57.48742	-5.44928	521	3.5	2.55	0.987	0	144320	12210	2006	11756	500
Scotland	06-HKY-06	57.48755	-5.44977	527	3.5	2.53	0.987	0	155910	21320	2006	11756	500
Scotland	06-HKY-07	57.48778	-5.44772	500	6.5	2.59	0.989	0	124260	21430	2006	11756	500
Scotland	06-HKY-08	57.48868	-5.44703	502	3	2.58	0.988	0	146950	15000	2006	11756	500
Scotland	06-HKY-09	57.48863	-5.44705	502	5	2.51	0.976	0	140500	14950	2006	11756	500
Scotland	06-HKY-10	57.48732	-5.44866	510	6	2.59	0.987	0	128260	19410	2006	11756	500
Scotland	06-HKY-11	57.48743	-5.44989	528	4.5	2.58	0.987	0	157140	14940	2006	11756	500
DeathValley	DV-19	36.21825	-116.90151	69	4.5	2.65	0.999	0	118710	19620	2000	50000	500
DeathValley	DV-18	36.2185	-116.90119	76	3	2.65	0.999	0	135710	10210	2000	50000	500
DeathValley	DV-9	36.5272	-117.2208	480	4	2.65	0.999	0	144350	4100	2000	50000	500
DeathValley	DV-6	36.23231	-117.24528	805	3	2.65	0.998	0	189330	11430	2000	50000	500
DeathValley	DV-25	36.80958	-116.90952	1191	3	2.65	0.999	0	309670	11990	2000	50000	500
DeathValley	DV-3	36.34425	-117.13612	1576	1	2.65	0.998	0	348130	10940	2000	50000	500
WhiteMtns	WHM-25	37.91078	-118.367	2154	2	2.65	0.985	0	490850	13330	2000	50000	500
WhiteMtns	BNR-4	37.72652	-118.57617	2337	3	2.65	0.975	0	560300	9680	2000	50000	500
WhiteMtns	BNR-3	37.73315	-118.56721	2431	3	2.65	0.967	0	661280	6290	2000	50000	500
WhiteMtns	WHM-1	37.53481	-118.15325	2834	4	2.65	0.946	0	779070	12440	2000	50000	500
WhiteMtns	WHM-6	37.49138	-118.16898	3200	4	2.65	0.944	0	1061480	15190	2000	50000	500
WhiteMtns	WHM-7	37.49062	-118.1712	3210	4	2.65	0.945	0	1005940	17210	2000	50000	500
WhiteMtns	WHM-11	37.55066	-118.22295	3556	3	2.65	0.932	0	1139770	138490	2000	50000	500
WhiteMtns	WHM-10	37.55066	-118.22295	3556	5	2.65	0.932	0	1303710	17900	2000	50000	500
WhiteMtns	WHM-19	37.59107	-118.2412	3879	6	2.65	0.92	0	1296070	17830	2000	50000	500
WhiteMtns	WHM-15	37.59094	-118.24037	3885	6	2.65	0.92	0	1272320	22010	2000	50000	500
WhiteMtns	WHM-16	37.59094	-118.24037	3885	6	2.65	0.92	0	1217980	24370	2000	50000	500
Chile	CA03-5A	-27.32	-70.7603889	224	4	2.65	1	0	110620	2060	2003	50000	500
Chile	SPN-699	-23.95698	-70.2858	699	2	2.65	0.988	0	127220	8720	2002	50000	500
Chile	SPN-977	-24.07313	-70.20565	977	3	2.65	0.977	0	210260	42600	2002	50000	500
Chile	SPN-1921	-24.47725	-69.40802	1921	2	2.65	0.997	0	331590	19490	2002	50000	500
Chile	SPN-3	-24.3113	-68.8014333	3098	2.5	2.65	0.997	0	571490	19260	2002	50000	500
Chile	SPN-7D	-24.5424	-68.70927	3689	4	2.65	0.997	0	928560	16330	2002	50000	500
Chile	SPN-11c	-24.56542	-68.63415	4035	2.5	2.7	0.997	0	983240	51810	2002	50000	500
Antarctica	98-PCM-010-SRDK	-70.86	68.13	225	3	2.7	1	0	183030	8420	1998	50000	500
Antarctica	WBC-UVP	-77.75	160.8	2160	5	2.5	1	0	968970	15770	1999	50000	500
Antarctica	98-PCM-002-BVLK	-70.82	68.17	100	3	2.8	1	0	160050	12860	1998	50000	500
Antarctica	WBC-2020	-77.75	160.8	2020	5.5	2.5	1	0	974370	19180	1999	50000	500
Antarctica	98-PCM-105-MNZ	-73.44	61.9	2538	3	2.7	1	0	1177930	19490	1998	50000	500
Antarctica	98-PCM-067-MNZ	-73.39	61.72	2137	3	2.7	1	0	1038010	20640	1998	50000	500
Antarctica	CRONUS-A	-77.88302	160.94308	1666	4	2.1	0.999	0	713510	13360	2004	50000	500
====================================================================================================

Input for 14C production rate calibration with isostatic adjustment of atmospheric pressure
====================================================================================================
site	sample	lat	long	elv	thick	dens	shield	erosion	N14	N14unc	samplingyr	calage	calageunc	isostP
NewZealand	MR-08-03	-43.57452	170.60805	1029.4	2.55	2.65	0.988	0	227200	9000	2008	9709	54	ICE7G
NewZealand	MR-08-05	-43.57435	170.6076	1032.1	2.39	2.65	0.991	0	194880	8770	2008	9709	54	ICE7G
NewZealand	MR-08-13	-43.57751	170.60695	1027.6	1.41	2.65	0.991	0	213480	8830	2008	9709	54	ICE7G
NewZealand	MR-08-14	-43.57787	170.60493	1032	2.35	2.65	0.991	0	200310	8920	2008	9709	54	ICE7G
Greenland	11QOO-01	69.2844	-50.7569	350	1.5	2.65	0.995	0	133900	8030	2011	9253	42	ICE7G
Greenland	11QOO-02	69.2844	-50.7569	350	1.5	2.65	0.995	0	152640	7980	2011	9253	42	ICE7G
Greenland	11QOO-03	69.2844	-50.7566	350	1	2.65	0.995	0	146510	8010	2011	9253	42	ICE7G
Greenland	11QOO-04	69.2844	-50.7562	350	1.25	2.65	0.995	0	142790	7820	2011	9253	42	ICE7G
Greenland	11QOO-05	69.2842	-50.7528	350	1	2.65	0.995	0	146970	7740	2011	9253	42	ICE7G
Bonneville	05PPT-01	41.2637	-112.4753	1603	3	2.65	0.978	0	344740	10630	2005	18366	306	ICE7G
Bonneville	05PPT-02	41.2637	-112.4753	1603	3	2.65	0.994	0	327590	6700	2005	18366	306	ICE7G
Bonneville	05PPT-03	41.2636	-112.4758	1600	5	2.65	0.962	0	336220	18810	2005	18366	306	ICE7G
Bonneville	05PPT-04	41.2636	-112.4769	1598	2.5	2.66	0.982	0	330140	8660	2005	18366	306	ICE7G
Bonneville	05PPT-05	41.2639	-112.4750	1605	3	2.67	0.99	0	357560	11670	2005	18366	306	ICE7G
Bonneville	05PPT-08	41.2638	-112.4748	1606	2.5	2.68	0.986	0	368590	15820	2005	18366	306	ICE7G
Scotland	06-HKY-01	57.41525	-5.64641	133	2	2.52	0.98	0	117490	15540	2006	11756	500	ICE7G
Scotland	06-HKY-03	57.41550	-5.64662	131	6.7	2.47	0.981	0	100780	6620	2006	11756	500	ICE7G
Scotland	06-HKY-04	57.42309	-5.65812	137	4	2.59	0.956	0	118090	7820	2006	11756	500	ICE7G
Scotland	06-HKY-05	57.48742	-5.44928	521	3.5	2.55	0.987	0	144320	12210	2006	11756	500	ICE7G
Scotland	06-HKY-06	57.48755	-5.44977	527	3.5	2.53	0.987	0	155910	21320	2006	11756	500	ICE7G
Scotland	06-HKY-07	57.48778	-5.44772	500	6.5	2.59	0.989	0	124260	21430	2006	11756	500	ICE7G
Scotland	06-HKY-08	57.48868	-5.44703	502	3	2.58	0.988	0	146950	15000	2006	11756	500	ICE7G
Scotland	06-HKY-09	57.48863	-5.44705	502	5	2.51	0.976	0	140500	14950	2006	11756	500	ICE7G
Scotland	06-HKY-10	57.48732	-5.44866	510	6	2.59	0.987	0	128260	19410	2006	11756	500	ICE7G
Scotland	06-HKY-11	57.48743	-5.44989	528	4.5	2.58	0.987	0	157140	14940	2006	11756	500	ICE7G
DeathValley	DV-19	36.21825	-116.90151	69	4.5	2.65	0.999	0	118710	19620	2000	50000	500	Gowan2021
